editor,issue_date,price,test,title,url
Panini,2017-11-08,7.20,"Quarta 08 Novembro, 2017",Doutor Estranho nº 11,http://www.comix.com.br/product_info.php?products_id=30564
Panini,2017-11-08,15.00,"Quarta 08 Novembro, 2017",Guerra Civil II Vol 01,http://www.comix.com.br/product_info.php?products_id=30563
Panini,2017-11-08,28.90,"Quarta 08 Novembro, 2017",Loki: Agentes De Asgard,http://www.comix.com.br/product_info.php?products_id=30562
Panini,2017-11-08,38.90,"Quarta 08 Novembro, 2017",Livro Clássicos do Cinema Coelhadas Nas Estrelas,http://www.comix.com.br/product_info.php?products_id=30561
Panini,2017-11-08,32.90,"Quarta 08 Novembro, 2017",Liga da Justiça da América :Os Mais Perigosos Do Mundo,http://www.comix.com.br/product_info.php?products_id=30560
Panini,2017-11-08,9.90,"Quarta 08 Novembro, 2017",Berserk nº 77,http://www.comix.com.br/product_info.php?products_id=30559
Panini,2017-11-08,13.90,"Quarta 08 Novembro, 2017",Pandora Hearts n°10,http://www.comix.com.br/product_info.php?products_id=30558
Panini,2017-11-08,13.90,"Quarta 08 Novembro, 2017",Lovely Complex nº 11,http://www.comix.com.br/product_info.php?products_id=30557
Panini,2017-11-08,13.90,"Quarta 08 Novembro, 2017",Toriko nº 28,http://www.comix.com.br/product_info.php?products_id=30556
Panini,2017-11-08,13.90,"Quarta 08 Novembro, 2017",Jaco Patrulheiro Galáctico nº 0 1,http://www.comix.com.br/product_info.php?products_id=30555
Panini,2017-11-08,18.90,"Quarta 08 Novembro, 2017",Lobo Solitário nº 05 (Edição Definitiva),http://www.comix.com.br/product_info.php?products_id=30554
Zarabatana Books,2017-11-08,92.00,"Quarta 08 Novembro, 2017",A Herança Becker (Capa Dura)(Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30551
Zarabatana Books,2017-11-08,76.00,"Quarta 08 Novembro, 2017",A Herança Becker (Capa Brochura)(Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30550
Zarabatana Books,2017-11-08,48.00,"Quarta 08 Novembro, 2017",Macanudo 9 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30549
Abril,2017-11-08,4.50,"Quarta 08 Novembro, 2017",Mickey nº 896,http://www.comix.com.br/product_info.php?products_id=30548
Shockdom Editora,2017-11-07,55.00,"Terça 07 Novembro, 2017",Vidas de Papel (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30547
Shockdom Editora,2017-11-07,45.00,"Terça 07 Novembro, 2017","Rindo, mas não deveria (Pré-Venda)",http://www.comix.com.br/product_info.php?products_id=30546
Shockdom Editora,2017-11-07,55.00,"Terça 07 Novembro, 2017",O Canto das Ondas (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30545
JBC,2017-11-07,599.90,"Terça 07 Novembro, 2017",Coleção Soul Eater,http://www.comix.com.br/product_info.php?products_id=30541
Devir,2017-11-07,145.00,"Terça 07 Novembro, 2017",A Liga Extraordinária – Dossiê Negro – Edição Luxo Limitada,http://www.comix.com.br/product_info.php?products_id=30540
Panini,2017-11-07,13.00,"Terça 07 Novembro, 2017",Inuyashiki nº 04 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30535
Darkside,2017-11-06,49.90,"Segunda 06 Novembro, 2017",Creepshow (Capa dura),http://www.comix.com.br/product_info.php?products_id=30531
NewPOP Editora,2017-11-06,14.00,"Segunda 06 Novembro, 2017",Corpse Party: Another Child nº 03,http://www.comix.com.br/product_info.php?products_id=30530
Novo Século,2017-11-06,39.90,"Segunda 06 Novembro, 2017",Até o Fim,http://www.comix.com.br/product_info.php?products_id=30529
Veneta,2017-11-06,89.90,"Segunda 06 Novembro, 2017",Diastrofismo Humano,http://www.comix.com.br/product_info.php?products_id=30528
Novo Século,2017-11-06,39.90,"Segunda 06 Novembro, 2017",De Volta Para o Futuro,http://www.comix.com.br/product_info.php?products_id=30527
Novo Século,2017-11-06,39.90,"Segunda 06 Novembro, 2017",Amor é amor,http://www.comix.com.br/product_info.php?products_id=30526
Veneta,2017-11-06,89.90,"Segunda 06 Novembro, 2017",Angola Janga - Uma história de Palmares,http://www.comix.com.br/product_info.php?products_id=30525
Panini,2017-11-01,36.00,"Quarta 01 Novembro, 2017",The Walking Dead nº 01 Dias Passados (Panini)(Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30524
Panini,2017-11-01,13.90,"Quarta 01 Novembro, 2017",Turma da Mônica Jovem Vol.06 Primeira Série(Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30523
Panini,2017-11-01,110.00,"Quarta 01 Novembro, 2017",Justiça Edição Definitiva,http://www.comix.com.br/product_info.php?products_id=30522
Panini,2017-11-01,25.90,"Quarta 01 Novembro, 2017",Batman: Lendas do Cavaleiro das Trevas – Don Newton Vol. 01,http://www.comix.com.br/product_info.php?products_id=30521
Panini,2017-11-01,25.90,"Quarta 01 Novembro, 2017",Coleção Marvel Terror: A Tumba do Drácula Nº 05,http://www.comix.com.br/product_info.php?products_id=30520
Panini,2017-11-01,7.50,"Quarta 01 Novembro, 2017",Mulher Maravilha (Renascimento) nº 7,http://www.comix.com.br/product_info.php?products_id=30519
Panini,2017-11-01,9.40,"Quarta 01 Novembro, 2017",X-Men nº 10 (Nova Revista Mensal),http://www.comix.com.br/product_info.php?products_id=30518
Panini,2017-11-01,7.20,"Quarta 01 Novembro, 2017",Homem Aranha & Deadpool nº9,http://www.comix.com.br/product_info.php?products_id=30517
Panini,2017-11-01,15.00,"Quarta 01 Novembro, 2017",Liga da Justiça Vs. Esquadrão Suicida (Renascimento) nº 01,http://www.comix.com.br/product_info.php?products_id=30516
Panini,2017-11-01,8.70,"Quarta 01 Novembro, 2017",Star Wars nº 22,http://www.comix.com.br/product_info.php?products_id=30515
Panini,2017-11-01,18.90,"Quarta 01 Novembro, 2017",Witches nº 01,http://www.comix.com.br/product_info.php?products_id=30514
Panini,2017-11-01,17.90,"Quarta 01 Novembro, 2017",Slam Dunk (Nova Edição) nº 07,http://www.comix.com.br/product_info.php?products_id=30513
Panini,2017-11-01,17.90,"Quarta 01 Novembro, 2017",Berserk (Nova Edição) nº 020,http://www.comix.com.br/product_info.php?products_id=30512
Panini,2017-11-01,13.50,"Quarta 01 Novembro, 2017",One Piece (Nova Edição) nº 072,http://www.comix.com.br/product_info.php?products_id=30511
Panini,2017-11-01,13.90,"Quarta 01 Novembro, 2017",Ore Monogatari nº 09,http://www.comix.com.br/product_info.php?products_id=30510
Panini,2017-10-27,8.50,"Sexta 27 Outubro, 2017",Chico Bento Moço nº 50,http://www.comix.com.br/product_info.php?products_id=30474
Mythos,2017-10-27,8.90,"Sexta 27 Outubro, 2017",Tex nº 569,http://www.comix.com.br/product_info.php?products_id=30472
Mythos,2017-10-27,9.90,"Sexta 27 Outubro, 2017",Tex Coleção nº 439,http://www.comix.com.br/product_info.php?products_id=30471
NewPOP Editora,2017-10-27,26.90,"Sexta 27 Outubro, 2017",Re:Zero –Livro 01,http://www.comix.com.br/product_info.php?products_id=30470
Mythos,2017-10-27,21.90,"Sexta 27 Outubro, 2017",Zagor nº 174,http://www.comix.com.br/product_info.php?products_id=30469
Panini,2017-10-27,25.90,"Sexta 27 Outubro, 2017",Monstro do Pântano: Raízes do Mal -Vol. 04,http://www.comix.com.br/product_info.php?products_id=30490
Mythos,2017-10-27,79.90,"Sexta 27 Outubro, 2017",Ragnarök: O Último Deus,http://www.comix.com.br/product_info.php?products_id=30468
Panini,2017-10-26,25.90,"Quinta 26 Outubro, 2017",Supergirl (Renascimento) nº 1 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30467
Panini,2017-10-26,25.90,"Quinta 26 Outubro, 2017",Batgirl e as Aves de Rapina vol. 1 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30466
Panini,2017-10-27,23.90,"Sexta 27 Outubro, 2017",Lua Do Lobo n°01,http://www.comix.com.br/product_info.php?products_id=30489
Panini,2017-10-27,18.20,"Sexta 27 Outubro, 2017",Avante Vingadores (NOVA SÉRIE) nº 11,http://www.comix.com.br/product_info.php?products_id=30488
Editora Todavia,2017-10-26,64.90,"Quinta 26 Outubro, 2017",Sem Dó,http://www.comix.com.br/product_info.php?products_id=30465
Editora Todavia,2017-10-26,54.90,"Quinta 26 Outubro, 2017",O Bulevar dos Sonhos Partidos,http://www.comix.com.br/product_info.php?products_id=30464
Independente,2017-10-26,20.00,"Quinta 26 Outubro, 2017",Pé de Palavra,http://www.comix.com.br/product_info.php?products_id=30463
Independente,2017-10-26,35.00,"Quinta 26 Outubro, 2017",Extremo Contos sobre o fim do mundo,http://www.comix.com.br/product_info.php?products_id=30462
Panini,2017-10-27,18.90,"Sexta 27 Outubro, 2017",A Agenda Secreta da Arlequina nº 2,http://www.comix.com.br/product_info.php?products_id=30487
Panini,2017-10-27,40.00,"Sexta 27 Outubro, 2017",A Morte do Capitão Marvel,http://www.comix.com.br/product_info.php?products_id=30486
Panini,2017-10-27,7.50,"Sexta 27 Outubro, 2017",Esquadrão Suicida (Renascimento) nº 05,http://www.comix.com.br/product_info.php?products_id=30485
